NAME,population_estimate,population_margin,state,county,tract,block group
"Block Group 3, Census Tract 34.01, Multnomah County, Oregon",703,189,41,51,3401,3
"Block Group 2, Census Tract 34.01, Multnomah County, Oregon",1042,294,41,51,3401,2
"Block Group 3, Census Tract 3.02, Multnomah County, Oregon",870,209,41,51,302,3
"Block Group 1, Census Tract 3.02, Multnomah County, Oregon",1331,246,41,51,302,1
"Block Group 5, Census Tract 3.02, Multnomah County, Oregon",1000,211,41,51,302,5
"Block Group 2, Census Tract 3.02, Multnomah County, Oregon",1134,274,41,51,302,2
"Block Group 6, Census Tract 3.02, Multnomah County, Oregon",927,232,41,51,302,6
"Block Group 4, Census Tract 3.02, Multnomah County, Oregon",1922,359,41,51,302,4
"Block Group 2, Census Tract 5.01, Multnomah County, Oregon",1133,224,41,51,501,2
"Block Group 4, Census Tract 5.01, Multnomah County, Oregon",1251,233,41,51,501,4
"Block Group 1, Census Tract 5.01, Multnomah County, Oregon",705,206,41,51,501,1
"Block Group 3, Census Tract 5.01, Multnomah County, Oregon",881,188,41,51,501,3
"Block Group 3, Census Tract 13.02, Multnomah County, Oregon",1475,291,41,51,1302,3
"Block Group 2, Census Tract 13.02, Multnomah County, Oregon",1076,192,41,51,1302,2
"Block Group 1, Census Tract 13.02, Multnomah County, Oregon",830,218,41,51,1302,1
"Block Group 1, Census Tract 24.01, Multnomah County, Oregon",1157,180,41,51,2401,1
"Block Group 2, Census Tract 24.01, Multnomah County, Oregon",667,145,41,51,2401,2
"Block Group 3, Census Tract 24.01, Multnomah County, Oregon",957,198,41,51,2401,3
"Block Group 2, Census Tract 34.02, Multnomah County, Oregon",924,335,41,51,3402,2
"Block Group 1, Census Tract 34.02, Multnomah County, Oregon",1603,321,41,51,3402,1
"Block Group 3, Census Tract 34.02, Multnomah County, Oregon",1435,310,41,51,3402,3
"Block Group 4, Census Tract 35.01, Multnomah County, Oregon",726,158,41,51,3501,4
"Block Group 3, Census Tract 35.01, Multnomah County, Oregon",1013,233,41,51,3501,3
"Block Group 2, Census Tract 35.01, Multnomah County, Oregon",1257,229,41,51,3501,2
"Block Group 1, Census Tract 35.01, Multnomah County, Oregon",648,158,41,51,3501,1
"Block Group 4, Census Tract 36.01, Multnomah County, Oregon",1182,257,41,51,3601,4
"Block Group 2, Census Tract 36.01, Multnomah County, Oregon",1718,450,41,51,3601,2
"Block Group 3, Census Tract 36.01, Multnomah County, Oregon",1300,256,41,51,3601,3
"Block Group 1, Census Tract 36.01, Multnomah County, Oregon",742,180,41,51,3601,1
"Block Group 2, Census Tract 40.01, Multnomah County, Oregon",1087,362,41,51,4001,2
"Block Group 3, Census Tract 40.01, Multnomah County, Oregon",1415,538,41,51,4001,3
"Block Group 1, Census Tract 40.01, Multnomah County, Oregon",3720,836,41,51,4001,1
"Block Group 4, Census Tract 40.01, Multnomah County, Oregon",2113,492,41,51,4001,4
"Block Group 4, Census Tract 52, Multnomah County, Oregon",1624,245,41,51,5200,4
"Block Group 3, Census Tract 52, Multnomah County, Oregon",989,216,41,51,5200,3
"Block Group 1, Census Tract 52, Multnomah County, Oregon",1145,306,41,51,5200,1
"Block Group 2, Census Tract 52, Multnomah County, Oregon",734,143,41,51,5200,2
"Block Group 2, Census Tract 57, Multnomah County, Oregon",2460,389,41,51,5700,2
"Block Group 3, Census Tract 57, Multnomah County, Oregon",811,227,41,51,5700,3
"Block Group 1, Census Tract 57, Multnomah County, Oregon",711,171,41,51,5700,1
"Block Group 1, Census Tract 60.01, Multnomah County, Oregon",723,79,41,51,6001,1
